Unnamed: 0,日期,品名,價格,交易量
0,108.01.01,茼蒿,36.6,13599.0
1,108.01.02,茼蒿,37.8,13149.0
2,108.01.03,茼蒿,37.3,10480.0
3,108.01.04,茼蒿,31.9,9672.0
4,108.01.05,茼蒿,28.1,11705.0
5,108.01.06,茼蒿,32.3,10712.0
6,108.01.08,茼蒿,28.0,11758.0
7,108.01.09,茼蒿,29.0,9044.0
8,108.01.10,茼蒿,23.9,7366.0
9,108.01.11,茼蒿,22.4,8428.0
10,108.01.12,茼蒿,22.7,9097.0
11,108.01.13,茼蒿,25.5,10973.0
12,108.01.15,茼蒿,25.3,10789.0
13,108.01.16,茼蒿,23.9,11075.0
14,108.01.17,茼蒿,23.3,6773.0
15,108.01.18,茼蒿,22.9,10717.0
16,108.01.19,茼蒿,22.8,10470.0
17,108.01.20,茼蒿,24.8,9374.0
18,108.01.22,茼蒿,32.8,7295.0
19,108.01.23,茼蒿,37.0,8613.0
20,108.01.24,茼蒿,36.0,8137.0
21,108.01.25,茼蒿,32.8,7077.0
22,108.01.26,茼蒿,35.6,8284.0
23,108.01.27,茼蒿,35.7,11021.0
24,108.01.29,茼蒿,36.3,8671.0
25,108.01.30,茼蒿,36.3,7113.0
26,108.01.31,茼蒿,34.0,7113.0
27,108.02.01,茼蒿,34.4,8823.0
28,108.02.02,茼蒿,39.0,9172.0
29,108.02.03,茼蒿,57.5,8332.0
30,108.02.04,茼蒿,60.0,10983.0
35,108.02.10,茼蒿,47.3,7909.0
36,108.02.11,茼蒿,48.3,6923.0
37,108.02.12,茼蒿,42.8,6273.0
38,108.02.14,茼蒿,30.8,9568.0
39,108.02.15,茼蒿,26.8,9682.0
40,108.02.16,茼蒿,23.0,10128.0
41,108.02.17,茼蒿,24.0,10890.0
42,108.02.18,茼蒿,21.8,11390.0
43,108.02.19,茼蒿,22.0,12597.0
45,108.02.22,茼蒿,18.1,15972.0
46,108.02.23,茼蒿,19.1,12252.0
47,108.02.24,茼蒿,22.7,10901.0
48,108.02.26,茼蒿,25.1,6662.0
49,108.02.27,茼蒿,22.6,6768.0
50,108.02.28,茼蒿,26.7,4791.0
54,108.03.01,茼蒿,27.1,3970.0
55,108.03.02,茼蒿,33.9,4201.0
56,108.03.03,茼蒿,33.5,6189.0
57,108.03.05,茼蒿,30.8,7114.0
58,108.03.06,茼蒿,25.0,7314.0
59,108.03.07,茼蒿,27.3,5337.0
60,108.03.08,茼蒿,35.9,2341.0
61,108.03.09,茼蒿,40.6,3576.0
62,108.03.10,茼蒿,35.8,5057.0
63,108.03.12,茼蒿,35.2,6349.0
64,108.03.13,茼蒿,31.5,3386.0
65,108.03.14,茼蒿,32.1,3447.0
66,108.03.15,茼蒿,36.4,3046.0
67,108.03.16,茼蒿,41.5,3290.0
68,108.03.17,茼蒿,48.1,2870.0
69,108.03.19,茼蒿,46.0,3709.0
70,108.03.20,茼蒿,43.3,3171.0
71,108.03.21,茼蒿,32.5,2978.0
72,108.03.22,茼蒿,36.8,1518.0
73,108.03.23,茼蒿,45.6,1704.0
74,108.03.24,茼蒿,51.0,2787.0
75,108.03.26,茼蒿,53.8,2130.0
76,108.03.27,茼蒿,48.7,1732.0
77,108.03.28,茼蒿,45.4,745.0
78,108.03.29,茼蒿,45.3,823.0
79,108.03.30,茼蒿,41.0,1710.0
80,108.03.31,茼蒿,40.1,1658.0
81,108.04.02,茼蒿,44.5,1167.0
82,108.04.03,茼蒿,37.7,1660.0
83,108.04.04,茼蒿,48.1,569.0
84,108.04.07,茼蒿,40.0,1144.0
85,108.04.09,茼蒿,43.5,784.0
86,108.04.10,茼蒿,28.4,1092.0
87,108.04.11,茼蒿,34.3,995.0
88,108.04.12,茼蒿,33.5,1004.0
89,108.04.13,茼蒿,34.5,645.0
90,108.04.14,茼蒿,29.0,904.0
91,108.04.16,茼蒿,31.3,1486.0
92,108.04.17,茼蒿,41.7,195.0
93,108.04.18,茼蒿,18.0,580.0
94,108.04.19,茼蒿,40.0,30.0
95,108.04.20,茼蒿,43.9,267.0
96,108.04.21,茼蒿,19.0,260.0
97,108.04.23,茼蒿,43.8,80.0
98,108.04.24,茼蒿,33.0,70.0
99,108.04.26,茼蒿,12.8,160.0
100,108.04.27,茼蒿,21.6,50.0
101,108.05.04,茼蒿,2.0,30.0
102,108.05.08,茼蒿,2.0,20.0
103,108.10.03,茼蒿,19.7,90.0
104,108.10.04,茼蒿,80.0,20.0
105,108.10.05,茼蒿,87.8,69.0
106,108.10.06,茼蒿,76.4,140.0
108,108.10.08,茼蒿,53.1,658.0
109,108.10.09,茼蒿,30.7,1420.0
110,108.10.10,茼蒿,41.0,1434.0
111,108.10.11,茼蒿,35.5,1639.0
112,108.10.12,茼蒿,33.8,1650.0
113,108.10.13,茼蒿,31.4,1772.0
114,108.10.15,茼蒿,37.1,1826.0
115,108.10.16,茼蒿,43.5,1941.0
116,108.10.18,茼蒿,45.4,2194.0
117,108.10.19,茼蒿,45.5,2759.0
118,108.10.20,茼蒿,54.7,2704.0
119,108.10.22,茼蒿,55.5,3222.0
120,108.10.23,茼蒿,50.7,2970.0
121,108.10.24,茼蒿,41.9,3238.0
122,108.10.25,茼蒿,41.2,3336.0
123,108.10.26,茼蒿,41.7,3791.0
124,108.10.27,茼蒿,41.1,5194.0
126,108.10.29,茼蒿,35.7,6147.0
127,108.10.30,茼蒿,35.0,6238.0
128,108.10.31,茼蒿,32.7,5732.0
129,108.11.01,茼蒿,31.4,6131.0
130,108.11.02,茼蒿,31.7,6845.0
131,108.11.03,茼蒿,42.5,4650.0
132,108.11.05,茼蒿,42.0,6902.0
133,108.11.06,茼蒿,40.7,5795.0
134,108.11.07,茼蒿,48.9,3976.0
135,108.11.08,茼蒿,57.8,3669.0
136,108.11.09,茼蒿,67.6,4161.0
137,108.11.10,茼蒿,71.2,5803.0
139,108.11.12,茼蒿,69.5,5830.0
140,108.11.13,茼蒿,60.2,5817.0
141,108.11.15,茼蒿,57.4,5971.0
142,108.11.16,茼蒿,50.6,7038.0
143,108.11.17,茼蒿,48.2,6881.0
144,108.11.19,茼蒿,43.9,9420.0
145,108.11.20,茼蒿,41.8,8149.0
146,108.11.21,茼蒿,36.6,7378.0
147,108.11.22,茼蒿,38.1,6734.0
148,108.11.23,茼蒿,34.7,9321.0
149,108.11.24,茼蒿,34.7,8018.0
150,108.11.26,茼蒿,36.4,9895.0
151,108.11.27,茼蒿,30.2,10032.0
152,108.11.28,茼蒿,27.8,9575.0
153,108.11.29,茼蒿,27.7,10110.0
154,108.11.30,茼蒿,31.2,8896.0
